GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ApiRest2,ApiRest2,AuthFilter.HeaderMapRequestWrapper,80,0,6,0,19,0,8,0,5,0
ApiRest2,ApiRest2,AuthFilter,17,20,1,1,4,6,1,2,0,2
ApiRest2,ApiRest2,App,5,3,0,0,2,1,1,1,1,1
ApiRest2,ApiRest2,Configuracion,0,21,0,0,0,5,0,2,0,2
ApiRest2,ApiRest2.Persistence,MensajeDao,18,259,0,6,11,65,0,9,0,6
ApiRest2,ApiRest2.Persistence,FatherDao,13,33,0,0,8,8,1,1,1,1
ApiRest2,ApiRest2.Persistence,UsuarioDao,18,351,0,6,11,72,0,9,0,6
ApiRest2,ApiRest2.Util,SessionData,17,83,2,4,3,21,2,7,0,6
ApiRest2,ApiRest2.Util,AuthenticationData,0,17,0,0,0,7,0,5,0,5
ApiRest2,ApiRest2.Converter,MensajeConverter,0,56,0,2,0,15,0,4,0,3
ApiRest2,ApiRest2.Converter,UsuarioConverter,0,50,0,2,0,14,0,4,0,3
ApiRest2,ApiRest2.Service,UsuarioService,0,31,0,0,0,10,0,6,0,6
ApiRest2,ApiRest2.Service,MensajeService,0,28,0,0,0,10,0,6,0,6
ApiRest2,ApiRest2.Response,MensajeWrapper,0,38,0,0,0,16,0,11,0,11
ApiRest2,ApiRest2.Response,UsuarioWrapper,0,44,0,0,0,14,0,10,0,10
ApiRest2,ApiRest2.Response,LoginResponseWrapper,0,16,0,0,0,8,0,4,0,4
ApiRest2,ApiRest2.Controller,MensajeController,17,94,1,5,5,19,1,8,0,6
ApiRest2,ApiRest2.Controller,UsuarioController,17,106,1,5,5,22,1,9,0,7
ApiRest2,ApiRest2.Entities,Mensaje,0,82,0,0,0,32,0,14,0,14
ApiRest2,ApiRest2.Entities,Usuario,0,152,0,0,0,58,0,24,0,24
ApiRest2,ApiRest2.Entities,Pais,3,29,0,0,1,13,1,5,1,5
ApiRest2,ApiRest2.Entities,Ciudad,3,29,0,0,1,12,1,5,1,5
ApiRest2,ApiRest2.Entities,Provincia,3,29,0,0,1,13,1,5,1,5
